FANUC DIE SCANNER RESULTS
Timestamp,2025-07-11 17:59:55

SUMMARY RESULTS
Die Center X (mm),400.4
Die Center Y (mm),813.6
Diameter (mm),112.0
Average Height (mm),67.1
Confidence (%),93.0

ACCURACY ANALYSIS
True Center X (mm),398.0
True Center Y (mm),809.0
X Error (mm),2.4
Y Error (mm),4.6
Total Error (mm),5.2
Target Achieved,No

DATA QUALITY
Total Scan Points,3132
Valid Scan Points,3132
Invalid Readings,0
Data Quality (%),100.0

EDGE DETECTION
Total Edges Found,156
Outer Edges (Used),76
Interior Edges (Filtered),80

COVERAGE ANALYSIS
X Range (mm),124.3
Y Range (mm),124.1
Total Area (mm²),15422
Point Density (points/mm²),0.203
Edge Coverage (% perimeter),85.2
Scanning Efficiency (%),100.0

SCAN POINTS DATA
Point_ID,X_mm,Y_mm,Z_mm,Height_mm,Valid,Timestamp
1,445.69,870.11,396.47,65.10,Yes,1752273410.21
2,445.69,869.61,396.47,65.10,Yes,1752273410.67
3,445.69,869.11,396.47,65.20,Yes,1752273410.97
4,445.69,868.61,396.47,65.00,Yes,1752273411.28
5,445.69,868.11,396.47,65.10,Yes,1752273411.59
6,445.69,867.61,396.47,75.50,Yes,1752273411.89
7,445.69,867.11,396.47,75.50,Yes,1752273412.20
8,445.69,866.61,396.47,75.40,Yes,1752273412.58
9,445.69,866.11,396.47,75.50,Yes,1752273412.99
10,445.69,865.61,396.47,75.50,Yes,1752273413.49
11,445.69,865.11,396.47,75.50,Yes,1752273413.93
12,445.69,864.61,396.47,75.50,Yes,1752273414.37
13,445.69,864.11,396.47,75.60,Yes,1752273414.72
14,445.69,863.61,396.47,75.50,Yes,1752273415.03
15,445.69,863.11,396.47,75.50,Yes,1752273415.35
16,445.69,862.61,396.47,75.60,Yes,1752273415.67
17,445.69,862.11,396.47,75.60,Yes,1752273416.02
18,445.69,861.61,396.47,75.50,Yes,1752273416.43
19,445.69,861.11,396.47,75.70,Yes,1752273416.83
20,445.69,860.61,396.47,75.70,Yes,1752273417.24
21,445.69,860.11,396.47,75.50,Yes,1752273417.59
22,445.69,859.61,396.47,75.60,Yes,1752273417.94
23,445.69,859.11,396.47,75.70,Yes,1752273418.32
24,445.69,858.61,396.47,75.50,Yes,1752273418.68
25,445.69,858.11,396.47,75.60,Yes,1752273419.05
26,445.69,857.61,396.47,75.80,Yes,1752273419.41
27,445.69,857.11,396.47,75.50,Yes,1752273419.75
28,445.69,856.61,396.47,75.60,Yes,1752273420.08
29,445.69,856.11,396.47,75.70,Yes,1752273420.43
30,445.69,855.61,396.47,75.50,Yes,1752273420.77
31,445.69,855.11,396.47,75.60,Yes,1752273421.12
32,445.69,854.61,396.47,75.60,Yes,1752273421.45
33,445.69,854.11,396.47,75.40,Yes,1752273421.82
34,445.69,853.61,396.47,75.50,Yes,1752273422.22
35,445.69,853.11,396.47,75.60,Yes,1752273422.62
36,445.69,852.61,396.47,75.60,Yes,1752273422.99
37,445.69,852.11,396.47,75.50,Yes,1752273423.38
38,445.69,851.61,396.47,75.70,Yes,1752273423.76
39,445.69,851.11,396.47,75.60,Yes,1752273424.14
40,445.69,850.61,396.47,75.50,Yes,1752273424.53
41,445.69,850.11,396.47,75.60,Yes,1752273424.90
42,445.69,849.61,396.47,75.60,Yes,1752273425.26
43,445.69,849.11,396.47,75.60,Yes,1752273425.63
44,445.69,848.61,396.47,75.50,Yes,1752273426.02
45,445.69,848.11,396.47,75.80,Yes,1752273426.38
46,445.69,847.61,396.47,75.50,Yes,1752273426.79
47,445.69,847.11,396.47,75.60,Yes,1752273427.20
48,445.69,846.61,396.47,75.90,Yes,1752273427.57
49,445.69,846.11,396.47,75.30,Yes,1752273427.98
50,445.69,845.61,396.47,75.60,Yes,1752273428.36
51,445.69,845.11,396.47,75.90,Yes,1752273428.74
52,445.69,844.61,396.47,75.50,Yes,1752273429.11
53,445.69,844.11,396.47,75.60,Yes,1752273429.51
