FANUC DIE SCANNER RESULTS
Timestamp,2025-07-14 12:11:41

SUMMARY RESULTS
Die Center X (mm),397.8
Die Center Y (mm),808.6
Diameter (mm),110.8
Average Height (mm),66.8
Confidence (%),81.1

ACCURACY ANALYSIS
True Center X (mm),398.0
True Center Y (mm),809.0
X Error (mm),0.2
Y Error (mm),0.4
Total Error (mm),0.4
Target Achieved,Yes

DATA QUALITY
Total Scan Points,4380
Valid Scan Points,4380
Invalid Readings,0
Data Quality (%),100.0

EDGE DETECTION
Total Edges Found,335
Outer Edges (Used),11
Interior Edges (Filtered),162

COVERAGE ANALYSIS
X Range (mm),123.8
Y Range (mm),125.9
Total Area (mm²),15583
Point Density (points/mm²),0.281
Edge Coverage (% perimeter),71.1
Scanning Efficiency (%),100.0

SCAN POINTS DATA
Point_ID,X_mm,Y_mm,Z_mm,Height_mm,Valid,Timestamp
1,443.90,864.40,395.36,64.90,Yes,1752511346.72
2,443.90,863.90,395.36,65.00,Yes,1752511347.10
3,443.90,863.40,395.36,65.00,Yes,1752511347.42
4,443.90,862.90,395.36,65.00,Yes,1752511347.77
5,443.90,862.40,395.36,65.00,Yes,1752511348.08
6,443.90,861.90,395.36,75.60,Yes,1752511348.41
7,443.90,861.40,395.36,75.30,Yes,1752511348.71
8,443.90,860.90,395.36,75.40,Yes,1752511349.01
9,443.90,860.40,395.36,75.80,Yes,1752511349.33
10,443.90,859.90,395.36,75.60,Yes,1752511349.67
11,443.90,859.40,395.36,75.20,Yes,1752511349.99
12,443.90,858.90,395.36,75.70,Yes,1752511350.33
13,443.90,858.40,395.36,75.60,Yes,1752511350.71
14,443.90,857.90,395.36,75.10,Yes,1752511351.00
15,443.90,857.40,395.36,75.60,Yes,1752511351.28
16,443.90,856.90,395.36,75.70,Yes,1752511351.65
17,443.90,856.40,395.36,75.40,Yes,1752511351.98
18,443.90,855.90,395.36,75.30,Yes,1752511352.28
19,443.90,855.40,395.36,75.60,Yes,1752511352.53
20,443.90,854.90,395.36,75.20,Yes,1752511352.82
21,443.90,854.40,395.36,75.40,Yes,1752511353.14
22,443.90,853.90,395.36,75.60,Yes,1752511353.44
23,443.90,853.40,395.36,75.30,Yes,1752511353.74
24,443.90,852.90,395.36,75.40,Yes,1752511354.10
25,443.90,852.40,395.36,75.50,Yes,1752511354.47
26,443.90,851.90,395.36,75.30,Yes,1752511354.78
27,443.90,851.40,395.36,75.40,Yes,1752511355.13
28,443.90,850.90,395.36,75.50,Yes,1752511355.48
29,443.90,850.40,395.36,75.40,Yes,1752511355.77
30,443.90,849.90,395.36,75.50,Yes,1752511356.11
31,443.90,849.40,395.36,75.40,Yes,1752511356.46
32,443.90,848.90,395.36,75.50,Yes,1752511356.77
33,443.90,848.40,395.36,75.40,Yes,1752511357.09
34,443.90,847.90,395.36,75.50,Yes,1752511357.40
35,443.90,847.40,395.36,75.60,Yes,1752511357.68
36,443.90,846.90,395.36,75.60,Yes,1752511357.97
37,443.90,846.40,395.36,75.20,Yes,1752511358.34
38,443.90,845.90,395.36,75.70,Yes,1752511358.77
39,443.90,845.40,395.36,75.20,Yes,1752511359.10
40,443.90,844.90,395.36,75.50,Yes,1752511359.45
41,443.90,844.40,395.36,75.50,Yes,1752511359.78
42,443.90,843.90,395.36,75.40,Yes,1752511360.13
43,443.90,843.40,395.36,75.60,Yes,1752511360.43
44,443.90,842.90,395.36,76.10,Yes,1752511360.78
45,443.90,842.40,395.36,75.80,Yes,1752511361.06
46,443.90,841.90,395.36,76.70,Yes,1752511361.52
47,443.90,841.40,395.36,75.90,Yes,1752511361.86
48,443.90,840.90,395.36,74.00,Yes,1752511362.25
49,443.90,840.40,395.36,72.50,Yes,1752511362.55
50,443.90,839.90,395.36,55.10,Yes,1752511362.92
51,443.90,839.40,395.36,55.10,Yes,1752511363.24
52,443.90,838.90,395.36,55.10,Yes,1752511363.53
53,443.90,838.40,395.36,55.10,Yes,1752511363.90
54,443.90,837.90,395.36,64.00,Yes,1752511364.28
55,443.90,837.40,395.36,63.10,Yes,1752511364.67
56,443.90,836.90,395.36,62.70,Yes,1752511364.99
57,443.90,836.40,395.36,62.70,Yes,1752511365.36
58,443.90,835.90,395.36,62.60,Yes,1752511365.70
59,443.90,835.40,395.36,62.50,Yes,1752511366.00
60,443.90,834.90,395.36,62.50,Yes,1752511366.34
61,443.90,834.40,395.36,62.60,Yes,1752511366.65
62,443.90,833.90,395.36,62.60,Yes,1752511367.04
63,443.90,833.40,395.36,62.70,Yes,1752511367.38
64,443.90,832.90,395.36,62.60,Yes,1752511367.71
65,443.90,832.40,395.36,62.50,Yes,1752511368.02
66,443.90,831.90,395.36,62.60,Yes,1752511368.36
67,443.90,831.40,395.36,62.60,Yes,1752511368.73
68,443.90,830.90,395.36,62.60,Yes,1752511369.03
69,443.90,830.40,395.36,62.50,Yes,1752511369.36
70,443.90,829.90,395.36,62.70,Yes,1752511369.73
71,443.90,829.40,395.36,62.50,Yes,1752511370.10
72,443.90,828.90,395.36,62.60,Yes,1752511370.45
73,443.90,828.40,395.36,62.60,Yes,1752511370.72
74,443.90,827.90,395.36,62.70,Yes,1752511371.03
75,443.90,827.40,395.36,62.60,Yes,1752511371.35
76,443.90,826.90,395.36,62.60,Yes,1752511371.67
77,443.90,826.40,395.36,62.60,Yes,1752511372.10
78,443.90,825.90,395.36,62.60,Yes,1752511372.53
79,443.90,825.40,395.36,62.60,Yes,1752511372.92
80,443.90,824.90,395.36,62.70,Yes,1752511373.23
81,443.90,824.40,395.36,62.60,Yes,1752511373.52
82,443.90,823.90,395.36,62.70,Yes,1752511373.85
83,443.90,823.40,395.36,62.60,Yes,1752511374.17
84,443.90,822.90,395.36,62.60,Yes,1752511374.51
85,443.90,822.40,395.36,62.70,Yes,1752511374.93
86,443.90,821.90,395.36,62.70,Yes,1752511375.29
87,443.90,821.40,395.36,62.70,Yes,1752511375.61
88,443.90,820.90,395.36,62.70,Yes,1752511375.94
