part_diameter,part_length,head_type,quantity,weight_kg,payload_number
1.5,6.25,12PT,250,1.423,3
0.625,2.5,12PT,1010,0.099,1
1.25,5.75,12PT,1520,0.909,2
0.875,3.5,12PT,1006,0.271,1
0.5,4.5,12PT,1005,0.114,1
1.5,6.75,12PT,800,1.536,4
0.75,6.25,12PT,100,0.356,1
1.0,4.75,12PT,755,0.481,1
1.0,6.0,12PT,155,0.607,2
1.0,3.5,12PT,275,0.354,1
0.75,3.75,12PT,900,0.213,1
1.25,8.0,6PT,755,1.264,3
1.25,8.0,6PT,1005,1.264,3
0.75,3.75,12PT,800,0.213,1
1.0,4.75,12PT,925,0.481,1
1.25,5.75,12PT,400,0.909,2
1.125,6.0,6PT,395,0.768,2
1.125,5.5,6PT,122,0.704,2
1.125,8.0,6PT,142,1.024,3
0.75,6.25,12PT,250,0.356,1
1.25,12.0,6PT,325,1.897,4
1.25,11.5,6PT,32,1.818,4
1.125,12.0,6PT,500,1.536,4
1.25,12.0,6PT,750,1.897,4
0.75,6.5,6PT,1000,0.37,1
0.75,6.5,6PT,2600,0.37,1
0.75,6.5,6PT,600,0.37,1
1.125,6.0,6PT,505,0.768,2
1.125,12.0,6PT,255,1.536,4
